skill,skill_ID
critical thinker,573
creative problem solver,568
sql programming,2264
javascript programming,1198
s4 hana,1938
artifactory,177
sap haas,2002
technical specifications,2372
jms,1212
jpa,1215
prometheus,1780
cfengine,358
scikit,2058
protractor,1785
browser,277
mozilla,1454
microsoft silverlight,1415
firebug,884
postman,1710
system,2326
vue.js,2554
frontend development,911
ux designers,2493
vxvm,2558
amdp,88
result driven,1893
flowcharts,897
sap cp,1990
p&i s,1648
lean development,1274
play,1695
react js,1839
invision,1133
self motivating,2112
osi layers,1643
language,1261
web application architectures,2570
oo programming,1582
unit,2469
gulp,978
grunt,975
sap fi,1998
flume,898
dita cms,747
collaborative,470
recovery,1845
amazon dynamodb,77
burp suite,293
appscan,160
av,217
hana xsa,995
jee web application development,1204
saas web,1949
jee web,1202
odata api,1564
debug,684
test case,2385
gatling,925
fc,865
performance test,1676
trex,2435
slack,2163
lean manufacturing,1277
neo,1497
dev ops,715
sap technologies,2042
sap analytics cloud,1964
swagger,2316
usability testing,2477
dast,617
zed attack proxy,2673
team building,2349
sap cloud connector,1981
e2e integration,782
scp ,2063
domain driven design,766
independent thinking,1089
dl,750
e learning solutions,778
ui texts,2461
ixiasoft,1164
customization,609
meta data model,1390
ui frameworks,2457
object model framework,1550
code quality,457
cpi,563
c4,321
network management,1506
hba,1000
backend development,231
scsi,2078
mockito,1434
qunit,1826
ap,119
ar,162
dockers,758
cloud application development,390
successfactors.com,2308
tenacity,2377
energy,813
database development,659
fiori ux,883
data governance,628
vulnerability testing,2556
deep learning frameworks,691
mathematical model,1359
eclipse ide,789
microservices architecture,1403
jetty,1208
execution,849
hana cloud integration,983
silk,2156
sql scripts,2266
keras,1237
pytorch,1797
mandarin chinese,1349
cdn,346
docker containerization,756
bash scripting,240
react native,1840
cx,612
relational database system,1861
spring hibernate,2252
spring reactor,2255
e.g. jquery,780
scrum framework,2074
service oriented architecture,2138
cd pipelines,344
user flows,2483
uis,2465
logic reasoning,1328
backend,230
netweaver pi,1501
content management system,534
cloud platform integration,421
as2,179
lob finance,1325
internet explorer,1125
esr,838
function modules,916
oo javascript,1580
jooq,1214
jersey,1207
ui technologies,2459
video streaming,2515
containerized,530
sap hana data modeling,2006
system integration testing,2331
knife,1242
alicloud,72
az,222
cloud ,387
self motivation,2113
cdns,347
xsjs,2664
gcih,928
ux design,2492
query optimizations,1819
server side java script,2128
data structure,646
pmo,1699
code analysis,450
container based virtualization technologies,523
delivery methodology,695
gigya,936
calliduscloud,332
coresystems,558
sap c4,1978
graphics,970
online analytical processing,1578
redux,1852
code refactoring,458
sap s4hana,2037
automation frameworks,211
incident management,1086
gradle,964
build tools,292
web automation,2577
bo,263
browser based user interfaces,278
bots,271
android studio,112
web ui development,2603
project delivery,1776
abap unit tests,11
computer literacy,499
functional programming,917
ssis,2275
linux distributions,1305
project,1774
no sql,1529
consul,519
idm,1071
basis,241
mdm,1374
sap solutions,2038
cloud erp,405
predictive analysis,1720
functional testing,919
sonarqube,2225
es6,835
problem solving skills,1752
written english,2650
visualizations,2535
multi cloud,1469
structured thinking,2300
hyperscalers,1052
sap c,1977
user guides,2484
alibaba cloud,71
amazon web services ,86
google cloud platform ,960
soap ui,2177
columnar database,473
continuous deployment,540
build processes,290
virtualization technologies,2524
intellij idea,1116
opentsdb,1606
gce,926
eks,797
azure kubernetes service (aks),223
crucible,579
spinnaker,2241
qe,1802
database testing,672
smartsheet,2168
flinto,895
visual design specifications,2530
learn quickly,1280
visual,2525
new relic,1519
scipy,2060
pandas,1657
develop,716
tests automation,2411
tuning queries,2442
teamcity,2358
jstl,1224
cloud environments,404
cloud iaas,410
authorization,195
restful apis,1890
management consulting,1348
database architecture,654
database architectures,655
dashboards,616
hpc,1031
view,2516
managed services,1346
oltp,1571
c++ debuggers,319
reactive programming,1841
go ,949
web controls,2583
safari,1951
s/4hana fiori,1935
cross browser javascript framework,577
openui5,1607
containerized applications,531
ms azure,1456
single page applications,2158
virtual machines,2521
opa5,1591
osgi,1641
issue tracking,1156
test automation framework,2381
api design,135
code design,452
mobile development,1431
consulting,521
software,2186
bug fixing,283
penetration testing,1666
nessus,1498
e learnings,779
accessibility,20
csm,585
problem analysis,1746
smb,2169
uikit,2464
build pipelines,289
microsoft access,1405
data correctness,623
concourse,507
micro service architecture,1395
api driven development,136
ali cloud,69
design thinking methodology,710
neural networks,1517
travis ci,2434
cloud management,413
ip packets,1141
text mining,2412
hana development,987
linkedin,1296
source code versioning,2230
web 2.0,2566
adobe creative suite,34
event processing,843
jasmine,1173
webpack,2608
dev,714
problem shooting,1749
creation,567
oo programming language,1583
thought leadership,2418
learn,1279
execution skills,851
facilitation,861
bcp,244
synchronization,2323
distributed systems,743
cloud virtualization,433
triggers,2437
ip communications,1139
k8s.,1233
cf,357
s/4 ux,1932
erp product s,833
spring security,2256
spring integration,2253
spring data,2250
spring core,2249
linux container,1303
graphql,971
cloud hcm,407
retail,1900
clean code,381
sap lumira,2022
edr,795
fast paced,863
gmp iaas,946
test automation tools,2384
saas web applications,1950
rpa,1923
full stack,914
flow diagrams,896
adb,31
checkmarx,363
cloud infrastructures,411
database modeling,664
devsecops,729
hyperscaler,1051
technical support,2373
abap webdynpro,12
code lhrs4262,453
sap web ide,2047
learning,1282
script languages,2066
accounting,21
transport layer security,2433
clojure,386
om,1572
express.js,852
session management,2142
ember.js,803
micro services architecture,1399
web apis,2568
integration technologies,1108
agility,58
kotlin,1249
feature implementation,866
pdlc,1664
app development,145
istio,1157
tensor flow,2378
jce,1200
extjs,854
ps,1787
pp,1715
bpm,273
selenium webdriver,2097
windows presentation foundation,2620
microsoft c#,1407
ttp,2441
gcia,927
workflow,2633
ad file system,29
registry,1853
agile environment,45
web proxy,2593
sast,2050
odata protocol,1565
cross browser compatibility,576
release,1866
javascript ,1194
analytic thinking,91
estimation,839
pdns,1665
grails,966
fico,870
executing test plans,847
lhrs4262,1286
cloudera,434
networking protocols,1512
bugzilla,285
web api,2567
visual studio code,2533
clm,385
innovative thinking,1104
stored procedure,2292
trigger,2436
sap hana cloud platform ,2005
karma runner,1235
test frameworks,2395
ui designs,2455
server side js,2129
hcp cloud foundry,1008
cross browser,575
memory corruptions,1379
memory leaks,1381
visual sourcesafe,2532
stylesheet development,2301
object model,1548
database technology,671
ie sql,1075
rdms,1837
automation test,213
jaws,1199
testlink,2408
versionone,2511
deadlocks,682
dm&lt,753
execute test cases,845
analytical ability,92
business object process framework,304
smartforms,2167
abap data dictionary,8
webdynpro abap,2605
screen programming,2064
database updates,673
automated integration,199
i2m,1058
build frameworks,288
automated test,201
sap cloud stack,1986
business english,301
dojo,764
ewm,844
interactive prototypes,1120
visual designs,2531
design tools,711
automation tests,215
omnigraffle,1573
human computer interaction,1040
adobe fireworks,35
quantitative analysis,1812
front end apps,906
parallel processing,1659
laboratory information management system,1256
microservice,1400
application performance tuning,153
jam apis,1171
agile software methodologies,56
web application security,2572
typography,2446
balsamiq,236
51,5
self motivator,2114
graphical html5,969
xcode,2652
j2ee technologies,1168
rxjava,1929
wm,2627
prefer oracle,1724
test automation scripts,2383
dependency injection,698
code profilers,456
java j2ee,1188
sf,2145
web based,2578
java frameworks,1187
self starting,2117
test case management,2387
prototypes,1783
seam,2085
abap workbench,14
abap technologies,10
logistics,1330
api gateway,137
cloud paas,419
c++ programming,320
storage technologies,2291
suite,2309
csp,586
development processes,722
auto layout,197
ux ucd,2494
session persistence,2143
e2e request,783
executing tests,848
presenting,1733
t4,2338
t3,2337
design reviews,705
user experience design,2482
xs engine,2661
standards,2282
development tools,724
cmake,443
reasoning,1844
agile lean processes,47
user interface designs,2489
user interface design,2488
task analysis,2343
adobe flash,36
ui specifications,2458
eam,784
thinking,2417
computer aided design,497
apache olingo,128
eclipse plugin development,790
esoa,837
open,1592
dtd,773
java ee web application,1185
interpersonal skills,1131
sax,2051
findbugs,878
sap cloud studio,1987
test results,2401
qa automation,1799
business suite,310
certification,356
actionscript,23
test management systems,2398
team spirit,2355
database internals,661
application redesign,155
nvm,1543
computer architecture,498
revision control systems,1904
predictive maintenance,1722
spring cloud platform,2248
web components,2581
mvvm,1487
ecmascript,791
activemq,26
apps,159
java coding,1182
solving,2223
performance tests,1678
sql coding,2262
implement program logic,1081
rdbms systems,1836
server virtualization,2134
hybrid apps,1045
open minded,1594
functional specifications,918
facebook,860
youtube,2670
4hana cloud delivery,3
learner decision making,1281
finance,875
microservice architecture,1401
rabbit mq,1829
activiti,27
solace,2211
lean development infrastructure,1275
mojos,1445
automating tests,209
self disciplined,2103
library,1291
load runner,1320
goal oriented,953
linux system administration,1313
bydesign,314
polymer.js,1703
build systems,291
marven,1357
cluster lock,440
version control system,2507
distributed,736
blog,262
entrepreneurial spirit,827
bosh,270
machine learning pipelines,1341
editing,794
bootstrap (front end framework),266
resource management,1880
odata service,1567
sap application development,1965
core data services,554
ui automation tests,2452
test driven methodology,2393
esf2,836
mdrs,1375
model driven development,1437
agile prototyping,50
test scenarios,2402
benton sans,248
ipad,1143
jira for bugs,1210
coding web,465
stack,2280
production (economics),1765
odata web service,1569
database concepts,657
s4hana cloud,1941
tm,2424
server side development,2126
unified modeling language ,2467
load testing,1322
write design specifications,2635
automated test suites,205
olingo,1570
cloud deployment,399
cloud based application development,394
haskell (programming language),999
ocaml,1562
mapr,1351
rpm,1924
end automation,812
caas,325
b2b,225
corporate social responsibility,559
object oriented programming principles,1557
pattern recognition,1662
jaas,1169
cloud software development,426
fiori development,881
coding standards,464
restful services,1891
communication skill,487
drupal,771
user interaction,2485
communication skills in english,489
sap technology,2043
data science development,642
object oriented javascript,1554
smb erp,2170
cds view,349
sap netweaver gateway,2027
proactive communication,1741
code management,454
technical writing,2374
documentation tools,763
query,1815
security programming,2091
docker containers,757
test design,2389
multi core processing,1472
dhtml framework,731
xhtml,2655
testable code,2405
ui components,2453
fxperience,922
statistical testing,2286
query languages,1817
distributions,745
orm framework,1635
fiddler,871
lean software development,1278
proactive problem solving,1743
ooa,1585
agile development models,43
lua (programming language),1332
multi ,1468
aws cloudformation,220
isolate memory leaks,1154
pm,1696
xs,2660
heroku,1015
object oriented concepts,1552
automating,207
robot framework,1914
information development,1095
multithreaded servers,1485
cloud products,423
people management,1668
agile sw development,57
eb xml,785
automated test development,203
load test frameworks,1321
maven build framework,1364
versioning control framework,2510
testpartner,2410
as4,180
administration,32
software development lifecycle,2200
hystrix,1056
mocha git,1433
cloud solution,427
5,4
sql server management,2267
team working,2357
queuing,1822
technical communication,2365
program management,1768
ui framework,2456
system design,2329
wcf,2565
hosted services,1027
restful api design,1889
programmable logic device,1769
gpu,963
numa,1540
crystal reports,582
system architecture,2328
data storage,645
xml data formats,2658
container based virtualization,522
public clouds,1790
automated deployments,198
open source frameworks,1598
server side logic,2130
review,1903
db design,677
tracking,2431
customization framework,610
user assistance,2479
unit testing frameworks,2471
web services testing,2599
xunit.net,2667
multi languages,1475
distributed computing development,738
pragmatic,1717
customer interaction,601
application design,150
linux operating systems,1310
j2ee programming,1165
the spring,2415
public finance,1791
oauth2,1546
mobile application development,1430
amdps,89
objects,1559
test case design,2386
object oriented analysis,1551
selenium web driver,2096
leonardo,1284
linux container technology,1304
ql,1803
intercultural sensitivity,1121
quality focus,1810
challenge complexity,359
b testing,224
stack development,2281
cds views,350
li tp1,1289
graph databases,968
distributed query processing,741
continuous integration tool,545
execute test scenarios,846
li lg3,1288
web server technologies,2595
testing frameworks,2406
git github,940
multi threaded programming,1481
implementing restful api’s,1084
procedures,1754
white box,2613
indexes,1090
babel,227
apache camel,122
amazon redshift,81
server side frameworks,2127
objects oriented programming,1560
fiori technology,882
glassdoor,943
spring boot automation framework,2247
junit automation,1227
boot,265
presentation communication skills,1730
junits,1228
hosting,1028
lambda,1257
sap nw gateway,2029
hana cds,982
self organized,2115
communication and presentation skills,483
code build,451
strategy,2296
rally,1832
linux environments,1307
verbal and written communication skills,2504
security testing,2092
micro service,1394
behavior driven development,247
machine translation,1342
micro service development,1397
newrelic,1520
user interaction designers,2486
erlang,830
functions,921
softlayer,2185
multi cloud devops,1470
w3c xhtml,2560
json resource design,1221
web application testing,2574
services,2140
micro service architectures,1396
saas application,1942
big data techniques,253
css standards,589
ada,30
wcag,2564
multi language,1474
event driven architectures,842
audit,192
metrics,1393
testing methodologies,2407
shell scripting ui,2152
portworx,1707
redis messaging,1851
multi cloud[aws,1471
views,2517
hana sql,992
gcp&i,929
iacloudcn,1060
aicloudxian,60
mean stack,1376
distributed parallel,740
customer handling,599
organizational,1629
soft skills,2184
sql tuning,2269
connectivity,516
task,2342
hebrew,1010
eppm,829
pp pi,1716
model driven,1436
iterative waterfall,1160
evedent.io,841
cicdco,367
rightscale,1908
victorops,2513
turbonomic,2443
network programming,1507
automation test frameworks,214
qunits,1827
jwt,1231
process oriented,1758
bdc,245
peo,1667
sap digital manufacturing cloud,1995
abap webdypro,13
leadership skills,1272
collaborate,466
intelligent robotic process automation,1115
identity management,1070
module testing,1444
checkman,362
spring frameworks,2251
persistency,1683
developing,718
technical,2361
envoy,828
mii,1424
api tests,139
big data technologies,254
soa micro services,2175
key management,1240
system administration,2327
flux,899
amazon elasticache,79
serverless,2135
software defined networking ,2194
cloud hcm analytics,408
java backend,1179
modem,1442
stress testing,2297
linux systems,1314
git code repository,938
android coding,111
push notifications,1793
sql – tuning,2270
independence,1087
server side programming,2131
aha,59
computing,505
katalon,1236
ssp,2278
nvm data protection,1544
read,1843
k8,1232
odata protocols,1566
results,1895
zypper,2675
cloud solution development,428
scalable micro services,2054
ip ,1138
sap cpi,1991
quality commitment,1809
s2dlc,1936
successfactors mobile,2305
oral,1620
social media,2181
technologies,2375
helvetica,1014
software refactoring,2206
db tuning,678
initiative,1102
container orchestration frameworks,525
functional tests,920
expresso testing,853
java backend development,1180
frontend technologies,912
demos,697
speech recognition,2239
xcui,2653
mybatis orm,1489
reliable web applications,1871
backend technology,233
backend frameworks,232
successfactors platform,2306
reverse proxy tuning,1902
core data services ,555
web based application,2579
cloud native development,414
python programming,1795
implementing functional tests,1083
cloud hsms,409
cryptographic apis,580
coredata,556
automated software testing,200
neural machine translation,1516
 serif,0
server side,2125
ooabap,1586
cse,584
comprehension,494
processing (programming language),1760
javascript components,1195
web interfaces utilizing xhtml,2590
ui5 fiori,2463
s/4 technology,1931
arabic language,164
java spring,1190
websphere mq,2610
new product development,1518
sap netweaver technology,2028
sap applications,1967
helm,1013
rest protocols,1887
self directed,2102
user,2478
solution management,2217
sap business suite ,1975
collaborating,467
hxm,1044
distributed version control,744
distributed software systems,742
architect,165
results oriented,1899
written and oral communications,2640
big,249
analytical and logical skills,96
presentation and networking skills,1728
marketing,1356
analyze,103
communication and collaboration skills,480
in memory database,1085
business development,300
presales,1725
sales,1952
written and oral communication skills,2639
flexible,893
resourceful,1881
proactive,1740
industrial and organizational psychology,1091
customer facing,596
on premise,1576
inter personal,1117
debugging skills,687
curious,592
analytical and problem solving skills,97
written and presentation communication skills,2641
diagnostic and technical analysis skills,732
agile software engineering skills,55
spoken,2243
relationship marketing,1864
customer,594
customer engagement,595
knowledge,1244
team work,2356
methodology,1392
principles,1735
information,1093
and,107
english communication skills,817
assess,185
troubleshooting distributed systems,2439
sap products & solutions,2033
plan,1692
commitment,476
analytical and architectural skills,94
analytical and,93
technical skills,2371
technical and analytical skills,2363
whatsapp,2612
server side web technology or scripting framework,2133
software development skills,2201
interpersonal,1129
diplomatic and negotiation skills,735
enterprise software,824
programming skills,1773
cooperative attitude,551
customer requirements,607
science,2057
communicative,491
database knowledge,662
assurance,186
internet of things,1126
documentation skills,762
teamwork,2359
enthusiasm,825
cloud oriented,418
business acumen,296
skills,2161
software engineering,2202
solve technical computer problems,2222
and verbal communication skills,109
written and verbal communication skills,2645
open style,1601
communication and problem solving skills,484
principles of oo design,1736
digital,733
product management,1763
project management skills,1778
cloud qualities,424
solution,2215
cloud development principles,401
troubleshooting skills,2440
cloud operations,416
written and spoken skills,2644
engineering,814
software architecture & design principles,2189
problems,1753
unix environment,2474
positive work attitude,1708
interpersonal and communication skills,1130
development skills,723
design principles,704
procurement,1761
communication and interpersonal skills,481
transactional,2432
self,2098
team,2348
planning,1693
financial planning,877
set analysis,2144
self motivated can do attitude,2111
communication and networking skills,482
linux environment,1306
analytical and troubleshooting skills,98
linux skills,1312
driven,770
customer oriented,603
communication ,479
english ,815
visualize data,2537
verbal and,2502
written and spoken communication skills,2642
business understanding,311
written and spoken english,2643
scripting skills,2071
enterprise application,820
abap knowledge,9
communication skills ,488
sap technology experience,2044
on demand,1575
deliver,693
work under pressure,2631
proactive team player,1744
goal,952
mentorship,1383
oral and written communication skills,1623
coding skills,463
internet scale problems,1128
organization skills,1628
written and verbal communications skills,2647
linux and,1300
clinical supervision,384
huge data sets,1039
large scale cloud,1265
written and communication skills,2638
end ,811
striving for perfection,2299
erp application,832
software development life cycle,2199
serif,2121
lifecycle,1292
business requirements,309
collaboration skills,469
large,1263
edifact,793
cloud and cloud technologies,389
“can do” attitude,2676
independent,1088
creative writing,569
oriented,1632
lean development infrastructure process,1276
goal oriented team worker,954
service,2137
highly motivated,1021
enterprise applications,821
object oriented design and development,1553
solutions,2220
can do attitude,334
windows operating systems,2618
design skills,706
open style of communication,1602
coaching skills,446
success driven,2303
team orientation,2350
customer relationship,605
debugging and analyzing complex problems,686
pro active working attitude,1739
software logistics,2204
basis administration,242
motivated,1453
ability,15
passionate,1660
analytical and communication skills,95
developer,717
ownership,1646
time management skills,2422
security concepts,2090
motivate,1452
lead,1270
consultant,520
production planning,1766
manufacturing,1350
visualize,2536
test driven development ,2392
networking skills,1513
sap products,2032
sap system administration,2040
full,913
multi,1467
software applications,2187
oral and written,1621
communication and writing skills,486
soh,2210
java ee web application technologies,1186
reliable,1870
report,1874
brainstorming,274
or,1615
signal processing,2155
fast iterations,862
business models,303
communicator,492
communications skills,490
supply chain management,2312
analyze abstract tasks,104
customer focused,598
enterprise,819
business and product requirements,297
technical computer problems,2366
construction,518
organized,1631
collaboratively,471
java based frameworks,1181
solving tough problems,2224
quick,1823
verbal and written communication,2503
server side web application,2132
large ,1264
self ,2099
programming knowledge,1770
risk,1909
analyzing,106
operating system internals,1610
oop concepts,1589
tag managers,2340
systems software design and development,2335
can do,333
end,810
customer handling skills,600
team players,2354
critical customer situations,572
modular frontend applications,1443
operations,1612
analyze technical problems,105
hands ,996
networks,1515
entrepreneurial,826
itil certification,1161
modeling and design,1440
customer interaction skills,602
oral and written communication,1622
pressure,1734
source code management ,2227
cloud environment,403
unix based systems,2473
continuous development models,542
work well in a team as well as independently,2632
results and execution focus,1896
proactive networking,1742
solution oriented,2218
cloud applications development,391
presentation and communication skills,1727
attitude,191
written and verbal communication skills in english,2646
technology,2376
conversational,549
highly self driven,1022
decision making skills,689
continuous,536
linux and unix skills,1302
high,1017
product manager,1764
team oriented,2351
software developer,2197
and communication skills,108
self managed,2108
software design principles,2196
cloud frameworks,406
designing & implementing restful api’s,712
teamwork skills,2360
large scale deep learning pipelines,1266
solve business problems,2221
striving for,2298
it operations,1158
communication and teamwork skills,485
cloud operation,415
development process,721
team oriented interpersonal skills,2352
global infrastructure,945
data mart,632
linux and unix,1301
focus,900
supply chain,2311
collaborator,472
open style of communication team spirit,1603
integration development,1107
high enthusiasm,1020
social skills,2183
web services ,2597
risk ,1910
documentation process,761
big data scenarios,252
business applications,298
software testing & frameworks,2209
customer oriented working attitude,604
sap enterprise business practices,1996
responsible,1883
java development skills,1183
git code repository technology,939
grow critical thinker,974
